student_id,student_name,c_internal_exam1_marks,c_internal_exam2_marks,c_attendance_percentage,c_final_exam_marks,c_preparation_time_daily_hours,java_internal_exam1_marks,java_internal_exam2_marks,java_attendance_percentage,java_final_exam_marks,java_preparation_time_daily_hours,python_internal_exam1_marks,python_internal_exam2_marks,python_attendance_percentage,python_final_exam_marks,python_preparation_time_daily_hours,cn_internal_exam1_marks,cn_internal_exam2_marks,cn_attendance_percentage,cn_final_exam_marks,cn_preparation_time_daily_hours,dsa_internal_exam1_marks,dsa_internal_exam2_marks,dsa_attendance_percentage,dsa_final_exam_marks,dsa_preparation_time_daily_hours
11,Alethea Gerrietz,35,49,45.01,99,6.9,7,33,68.83,69,20.09,13,35,92.98,41,19.6,3,49,58.48,62,6.02,50,31,90.77,51,22.17
12,Jozef Woodison,4,0,93.77,97,19.32,5,38,95.94,100,0.7,22,21,5.58,38,10.32,44,16,20.48,55,13.36,3,6,34.99,10,8.19
13,Elayne Faulo,27,38,84.58,3,23.97,8,11,10.66,34,6.09,11,11,11.26,29,2.95,28,6,65.6,63,3.7,15,11,58.53,39,17.17
14,Indira Arnet,46,15,2.86,92,18.73,2,47,98.65,62,4.74,25,3,33.42,88,23.43,15,5,13.68,57,5.26,23,3,32.19,75,9.97
15,Xenos Crosswaite,44,32,99.59,90,9.72,23,1,34.67,84,5.11,25,27,83.09,26,10.95,48,31,35.11,18,7.84,27,27,38.97,30,14.59
16,Dimitry Calvie,19,9,97.63,88,13.39,20,19,5.23,98,8.34,39,36,56.71,4,4.38,38,18,7.98,87,11.78,5,47,27.89,46,21.49
17,Fanny Blackaller,21,12,89.71,27,20.45,42,7,82.79,81,14.09,13,48,41.19,93,16.21,42,9,77.36,95,13.33,3,15,51.19,28,21.49
18,Eugine Rosgen,2,7,12.7,33,15.46,33,6,20.62,1,4.05,23,4,91.26,88,8.04,26,49,49.51,35,9.98,28,18,73.58,26,4.83
19,Arte Ayree,10,48,11.91,57,21.78,32,38,56.88,18,22.77,38,34,49.13,86,8.54,19,16,27.31,19,4.28,47,3,92.89,90,7.19
20,Fiona Chitham,13,40,48.34,57,22.76,13,19,21.33,3,3.77,6,29,89.49,67,3.48,11,49,37.63,35,16.0,47,5,23.46,50,22.4
21,Prince Rilton,36,22,88.04,98,8.39,4,45,82.26,62,7.17,14,13,3.21,90,11.7,25,38,68.46,78,15.52,16,33,18.02,0,22.51
22,Candide Leaning,8,41,49.43,61,18.87,20,1,85.1,63,23.38,27,47,98.69,10,14.41,13,35,60.69,13,13.87,20,18,65.51,69,23.61
23,Anabelle Bootes,5,47,97.34,2,12.41,33,21,90.43,58,15.38,41,42,11.12,90,5.39,36,20,19.7,94,3.45,8,20,53.49,33,9.39
24,Hort Waison,4,40,7.51,94,8.77,30,38,71.2,11,0.19,32,20,27.7,86,16.98,24,10,32.87,29,13.13,35,47,37.19,7,8.51
25,Keefer Lowis,9,17,53.73,52,7.58,40,28,93.87,64,16.6,13,31,57.2,81,22.85,36,37,69.05,59,17.76,34,30,20.02,83,19.52
26,Sheelah Glenister,44,20,39.84,91,13.85,24,48,81.76,68,2.84,38,5,98.32,79,13.82,23,29,25.01,66,22.25,0,41,6.91,68,1.35
27,Noel Cleaveland,26,30,74.35,35,11.47,27,30,42.66,1,12.2,0,15,23.09,63,11.21,18,9,22.79,72,1.09,16,46,15.3,90,15.03
28,Dorris Laughlin,23,39,19.36,17,19.31,44,0,84.92,69,22.76,29,1,48.55,13,6.23,42,5,7.28,11,2.16,44,0,21.24,21,22.7
29,Tildie Quadrio,50,6,35.17,75,8.65,6,9,11.27,23,12.94,9,47,97.07,29,2.17,35,2,2.9,86,21.32,14,30,86.04,65,9.88
30,Noe Blanchette,31,19,34.83,61,1.12,1,0,70.36,51,8.98,7,31,67.63,89,8.19,19,35,55.96,8,17.4,36,1,90.53,95,13.25
31,Shermy Horsewood,1,44,0.12,54,0.91,6,44,89.96,9,8.99,25,17,44.17,99,6.78,7,8,1.61,61,7.18,33,14,50.93,24,3.07
32,Elisabeth O'Brian,8,36,40.15,0,12.64,16,19,12.67,6,18.35,20,32,67.83,10,11.53,20,40,3.37,0,18.83,11,46,4.19,34,2.98
33,Cybill Cassar,35,32,28.5,55,16.96,8,46,20.33,99,22.24,40,28,88.62,0,18.1,34,27,27.77,39,14.13,19,21,86.57,35,23.69
34,Kelli Dowdle,14,31,0.59,78,1.73,11,22,71.97,11,7.4,43,11,53.52,39,20.54,21,13,14.92,43,22.45,25,12,44.71,2,21.93
35,Seumas Pawlata,6,45,38.88,54,1.22,14,48,2.79,65,15.26,16,13,40.9,32,5.82,7,17,59.73,48,9.24,49,24,72.72,50,7.75
36,Sigismondo Billington,2,11,94.59,34,12.74,13,0,53.01,26,10.36,30,25,16.04,83,17.88,48,0,48.19,89,7.1,42,39,40.76,94,19.64
37,Yehudi Girt,28,15,65.8,60,18.74,47,42,89.45,33,21.21,7,36,28.33,95,5.29,28,11,48.47,9,7.94,50,12,23.32,90,19.41
38,Joel Wonfor,29,50,54.73,66,11.42,37,43,26.48,16,19.62,17,38,86.94,62,23.63,45,48,96.26,79,18.4,37,50,23.48,21,21.76
39,Sibbie Gerriessen,14,28,77.12,2,18.55,3,46,1.03,20,2.25,36,14,94.75,31,18.96,39,17,91.26,74,6.5,39,46,45.96,70,21.52
40,Aime Guiver,50,38,54.16,49,23.5,15,8,22.04,26,1.77,18,16,44.13,65,11.58,14,45,56.2,31,3.13,48,33,43.49,39,18.7
41,Deane Vossing,13,21,77.45,55,12.88,31,31,30.08,89,19.41,2,11,49.34,19,15.71,15,2,79.36,67,2.73,28,2,86.81,42,7.8
42,Bendite Brobyn,15,6,11.1,10,20.4,38,8,76.58,40,11.0,6,26,39.75,59,1.78,20,36,0.87,83,19.66,26,3,72.07,72,3.4
43,Rennie Mertin,1,22,35.01,28,17.7,27,25,94.48,30,14.91,23,29,66.19,34,23.88,38,5,83.44,84,3.43,16,1,36.78,20,4.3
44,Raymond Salterne,42,31,39.25,60,13.49,16,48,12.63,23,2.52,9,2,57.28,20,7.47,34,6,80.81,89,19.66,28,19,0.5,9,23.81
45,Francoise Hillum,9,41,57.71,80,16.03,18,37,16.31,29,3.34,8,40,21.72,97,14.59,36,22,59.71,36,2.99,6,33,2.34,97,0.46
46,Dmitri Sharrocks,21,24,98.57,32,18.82,35,14,29.13,86,13.3,5,2,1.93,95,20.58,14,18,50.49,24,13.03,45,18,46.77,56,0.02
47,Sheilakathryn Poor,38,22,43.61,87,8.48,30,7,12.27,95,18.8,37,30,0.54,49,1.6,4,24,19.28,28,19.7,33,32,32.09,66,21.01
48,Annabela Kingett,22,35,31.16,30,1.4,1,43,0.58,95,2.49,30,46,91.14,2,15.7,31,30,88.51,65,4.26,5,40,10.7,77,3.03
49,Killy Conrart,48,22,7.86,15,6.9,30,26,72.0,32,12.83,5,17,25.75,31,9.07,10,33,8.68,100,17.65,37,2,86.96,3,9.87
50,Toby Lozano,37,44,59.55,91,18.29,23,38,50.87,79,0.35,23,2,99.81,3,18.04,1,50,23.86,84,0.35,39,18,61.53,74,20.47
51,Rosabella Goldis,23,9,22.43,51,4.44,1,40,27.16,92,15.34,33,28,67.37,99,12.29,8,14,26.64,63,9.75,45,4,13.58,69,13.28
52,Beryle Buckbee,26,0,26.13,35,18.45,26,35,23.76,61,1.77,50,22,89.8,77,5.65,41,32,67.58,97,19.26,18,36,53.94,74,16.72
53,Mycah Godbolt,37,29,9.96,34,2.33,42,31,3.04,12,10.08,30,30,13.59,64,20.2,6,38,86.35,53,18.84,37,45,19.4,25,14.43
54,Belvia Brum,35,23,23.91,76,22.94,38,3,75.47,95,13.98,30,13,58.45,79,9.94,35,1,21.83,43,1.95,0,34,81.98,22,16.08
55,Isaak Melchior,44,0,87.33,25,23.95,4,49,17.77,90,15.83,27,48,98.47,76,10.89,20,1,55.88,12,1.42,50,35,91.88,3,11.37
56,Renard Ferrotti,5,4,15.9,44,16.94,45,44,93.32,86,22.97,1,8,76.54,79,17.78,26,22,4.54,41,14.5,22,6,15.92,21,4.56
57,Rosemonde Goose,25,33,65.01,67,11.41,8,4,95.26,4,5.48,20,18,14.25,82,12.92,44,8,48.34,7,18.27,27,2,38.55,31,7.48
58,Chrissy Cleverley,48,33,81.58,3,6.81,21,19,55.85,67,19.53,7,38,85.9,99,5.05,6,24,3.16,0,17.17,12,0,16.39,45,9.51
59,Hermy Whatling,46,18,86.3,96,14.36,12,34,56.69,39,13.83,25,18,72.79,55,13.19,10,8,36.43,43,12.22,20,3,40.67,67,19.03
60,Marcellina Crimpe,47,20,9.12,95,21.23,28,1,84.97,43,5.88,5,34,45.36,91,7.77,23,42,23.52,9,10.07,45,43,62.73,60,21.1
